,returns,garch_rolling_95_t,garch_rolling_99_t,garch_rolling_95_n,garch_rolling_99_n
2016-11-30,-0.2656930555156394,-0.8858694741510978,-1.454676934470798,-0.995681441296574,-1.4234004065177486
2016-12-01,-0.3521722966763813,-0.8651143643124376,-1.4179838059398353,-0.9794799923328379,-1.4003719098537646
2016-12-02,0.0396927720084623,-0.8680507768011834,-1.4216026289910502,-0.9847175635744467,-1.40760850022028
2016-12-05,0.5804426926743671,-0.8194306247498538,-1.3426110620059502,-0.9442764988813488,-1.3506213972642926
2016-12-06,0.3405084468874609,-0.8765305987206763,-1.4377817598149383,-0.9978423979290488,-1.4275687382637954
2016-12-07,1.307735874472335,-0.8532032565103636,-1.3993644645781291,-0.9763611474158697,-1.3976670049260005
2016-12-08,0.2157015016871101,-1.2266635098737566,-2.0051095728056305,-1.323717375054082,-1.8908999912583628
2016-12-09,0.5921418532969714,-1.1096064135085713,-1.8180157748237167,-1.194974372455817,-1.7090068677899386
2016-12-12,-0.1138082290599516,-1.0838020075303978,-1.77677672088357,-1.164506339947404,-1.6664781942930174
2016-12-13,0.651848320123699,-1.0012479189756969,-1.6524509149309126,-1.0813035312059298,-1.5484883214881393
2016-12-14,-0.8150295461858615,-1.0276131484126956,-1.6980378657487747,-1.1057224552451566,-1.582806014483457
2016-12-15,0.3875707687553573,-1.1421581933017848,-1.8769206056443675,-1.2126575938781288,-1.7325835219213628
2016-12-16,-0.1752156750980241,-1.0673032947185013,-1.7545927040125013,-1.1385796004463504,-1.6276350667530324
2016-12-19,0.1973172715211258,-0.9929871004934087,-1.6322740270025011,-1.06881894440022,-1.5286636200322807
2016-12-20,0.3630912401152755,-0.926064240311755,-1.5230857430079359,-1.0107659698407108,-1.446767521334551
2016-12-21,-0.2460385724677666,-0.8941394089412461,-1.4702296567603192,-0.9874363441404592,-1.4141465015243624
2016-12-22,-0.1864711222396504,-0.8654695530843735,-1.4214730809280864,-0.9648932356127091,-1.3822101202332422
2016-12-23,0.1250932535079235,-0.8327283958066197,-1.3686381499820772,-0.9393315295474352,-1.3461185843633254
2016-12-27,0.2245848904548634,-0.7902409864777591,-1.3048145567929006,-0.9075698213616035,-1.3015095630996398
2016-12-28,-0.8391640709771516,-0.7621300289751971,-1.258626291230823,-0.8881572831830027,-1.274708686488111
2016-12-29,-0.0293347731868372,-0.9790243255395895,-1.6035463085863009,-1.0850092236891125,-1.5527740554167662
2016-12-30,-0.4647834696854234,-0.9066307235376466,-1.4907526856979736,-1.011764044262482,-1.449224651239301
2017-01-03,0.8450766753157112,-0.9252932439235816,-1.520515605103394,-1.0271618362047237,-1.470041140721402
2017-01-04,0.5705963770549438,-1.0428768143026697,-1.7070969203407875,-1.1341844651791575,-1.6210578677855667
2017-01-05,-0.0770967602481184,-1.0279097215425708,-1.6856822528104862,-1.114008650491571,-1.5935026263367098
2017-01-06,0.3510789180579059,-0.9488909326457206,-1.5629273459253044,-1.034830222986802,-1.4820247903118322
2017-01-09,-0.3554905471559629,-0.9058445746140407,-1.4936860109879457,-0.9963885398680032,-1.4281575366957155
2017-01-10,0.0,-0.8955482702545428,-1.4767003306902529,-0.9881816913311058,-1.4164243131767766
2017-01-11,0.2825642389101951,-0.8386998316008599,-1.3894478150420417,-0.9374888845524821,-1.345112869639303
2017-01-12,-0.2147112393729617,-0.8119092222680437,-1.3511438555987043,-0.9180417084915453,-1.3173417905045706
2017-01-13,0.1848131395146655,-0.7933230884939138,-1.317919425717164,-0.9047248181037209,-1.2981331083234209
2017-01-17,-0.2971914456218445,-0.759784917177345,-1.2638227696998072,-0.8793320380009666,-1.2622627472675236
2017-01-18,0.176220046980932,-0.7738530309629685,-1.2875663357236116,-0.8954831920686877,-1.2837123116802887
2017-01-19,-0.3615837624319374,-0.7419466163075953,-1.2377563755628853,-0.8706978784276257,-1.2490995829677916
2017-01-20,0.3360584061299942,-0.773858217300448,-1.2854426433236819,-0.8992154228450574,-1.289121230834258
2017-01-23,-0.2693749646069815,-0.7654932329307212,-1.2751638966130325,-0.8925673364085824,-1.2804334902031158
2017-01-24,0.6543140528962317,-0.7646598191356077,-1.275267405968675,-0.891170341931137,-1.2788255328630573
2017-01-25,0.7994052795968681,-0.8527136620594895,-1.4186163494974267,-0.9701635405045972,-1.3909371676074906
